Average,City,Code,Direction,Full,Location,Maximum,Minimum,Month,Precipitation,Speed,State,Week of,Year
39,Birmingham,BHM,33,1/3/2016,"Birmingham, AL",46,32,1,0,4.33,Alabama,3,2016
39,Huntsville,HSV,32,1/3/2016,"Huntsville, AL",47,31,1,0,3.86,Alabama,3,2016
46,Mobile,MOB,35,1/3/2016,"Mobile, AL",51,41,1,0.16,9.73,Alabama,3,2016
45,Montgomery,MGM,32,1/3/2016,"Montgomery, AL",52,38,1,0,6.86,Alabama,3,2016
34,Anchorage,ANC,19,1/3/2016,"Anchorage, AK",38,29,1,0.01,7.8,Alaska,3,2016
38,Annette,ANN,9,1/3/2016,"Annette, AK",44,31,1,0.09,8.7,Alaska,3,2016
30,Bethel,BET,9,1/3/2016,"Bethel, AK",36,24,1,0.05,16.46,Alaska,3,2016
22,Bettles,BTT,2,1/3/2016,"Bettles, AK",32,9,1,0.15,3.1,Alaska,3,2016
34,Cold Bay,CDB,20,1/3/2016,"Cold Bay, AK",36,31,1,0.6,9.1,Alaska,3,2016
38,Cordova,CDV,9,1/3/2016,"Cordova, AK",43,33,1,2.15,9.76,Alaska,3,2016
31,Delta Junction/Ft Greely,BIG,14,1/3/2016,"Delta Junction/Ft Greely, AK",39,23,1,0,17.9,Alaska,3,2016
14,Fairbanks,FAI,2,1/3/2016,"Fairbanks, AK",30,4,1,0,2.2,Alaska,3,2016
27,Gulkana,GKN,14,1/3/2016,"Gulkana, AK",34,19,1,0.02,8.23,Alaska,3,2016
39,Homer,HOM,9,1/3/2016,"Homer, AK",42,35,1,1.22,11.26,Alaska,3,2016
40,Iliamna,ILI,9,1/3/2016,"Iliamna, AK",42,37,1,0,19.76,Alaska,3,2016
36,Juneau,JNU,10,1/3/2016,"Juneau, AK",40,31,1,0.7,9.23,Alaska,3,2016
34,Kenai,ENA,6,1/3/2016,"Kenai, AK",37,30,1,0.14,11.2,Alaska,3,2016
37,Ketchikan,KTN,15,1/3/2016,"Ketchikan, AK",41,33,1,0.17,6.16,Alaska,3,2016
39,King Salmon,AKN,10,1/3/2016,"King Salmon, AK",42,35,1,0.05,18.83,Alaska,3,2016
40,Kodiak,ADQ,11,1/3/2016,"Kodiak, AK",42,36,1,1.3,21.8,Alaska,3,2016
27,Kotzebue,OTZ,11,1/3/2016,"Kotzebue, AK",33,20,1,0.1,11.76,Alaska,3,2016
30,Mc Grath,MCG,15,1/3/2016,"Mc Grath, AK",39,20,1,0.01,3.7,Alaska,3,2016
29,Nome,OME,6,1/3/2016,"Nome, AK",32,25,1,0.08,12.86,Alaska,3,2016
